CCDRReportID,Program Name,Task Name,Report Name,Report As Of Date,ContractorName,PrimeSub,Reporting Level,WBS Code,Element Name,WBS Element Concatenation,To Date / At Completion,Recurring / Non-Recurring,Functional Category,Functional Element,Unit Of Measure,Value,Report Format
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Nonrecurring,Engineering,Direct Engineering Labor Hours,Hours,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Engineering,Direct Engineering Labor Hours,Hours,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Engineering,Direct Engineering Labor Hours,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Nonrecurring,Engineering,Direct Engineering Labor Hours,Hours,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Engineering,Direct Engineering Labor Hours,Hours,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Engineering,Direct Engineering Labor Hours,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Nonrecurring,Engineering,Direct Engineering Labor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Engineering,Direct Engineering Labor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Engineering,Direct Engineering Labor Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Nonrecurring,Engineering,Direct Engineering Labor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Engineering,Direct Engineering Labor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Engineering,Direct Engineering Labor Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Nonrecurring,Engineering,Engineering Overhead Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Engineering,Engineering Overhead Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Engineering,Engineering Overhead Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Nonrecurring,Engineering,Engineering Overhead Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Engineering,Engineering Overhead Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Engineering,Engineering Overhead Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Nonrecurring,Manufacturing Operations,Direct Tooling Labor Hours,Hours,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Manufacturing Operations,Direct Tooling Labor Hours,Hours,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Manufacturing Operations,Direct Tooling Labor Hours,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Nonrecurring,Manufacturing Operations,Direct Tooling Labor Hours,Hours,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Manufacturing Operations,Direct Tooling Labor Hours,Hours,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Manufacturing Operations,Direct Tooling Labor Hours,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Nonrecurring,Manufacturing Operations,Direct Tooling Labor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Manufacturing Operations,Direct Tooling Labor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Manufacturing Operations,Direct Tooling Labor Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Nonrecurring,Manufacturing Operations,Direct Tooling Labor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Manufacturing Operations,Direct Tooling Labor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Manufacturing Operations,Direct Tooling Labor Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Nonrecurring,Manufacturing Operations,Direct Tooling & Equipment Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Manufacturing Operations,Direct Tooling & Equipment Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Manufacturing Operations,Direct Tooling & Equipment Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Nonrecurring,Manufacturing Operations,Direct Tooling & Equipment Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Manufacturing Operations,Direct Tooling & Equipment Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Manufacturing Operations,Direct Tooling & Equipment Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Nonrecurring,Manufacturing Operations,Direct Quality Control Labor Hours,Hours,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Manufacturing Operations,Direct Quality Control Labor Hours,Hours,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Manufacturing Operations,Direct Quality Control Labor Hours,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Nonrecurring,Manufacturing Operations,Direct Quality Control Labor Hours,Hours,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Manufacturing Operations,Direct Quality Control Labor Hours,Hours,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Manufacturing Operations,Direct Quality Control Labor Hours,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Nonrecurring,Manufacturing Operations,Direct Quality Control Labor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Manufacturing Operations,Direct Quality Control Labor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Manufacturing Operations,Direct Quality Control Labor Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Nonrecurring,Manufacturing Operations,Direct Quality Control Labor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Manufacturing Operations,Direct Quality Control Labor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Manufacturing Operations,Direct Quality Control Labor Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Nonrecurring,Manufacturing Operations,Direct Manufacturing Labor Hours,Hours,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Manufacturing Operations,Direct Manufacturing Labor Hours,Hours,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Manufacturing Operations,Direct Manufacturing Labor Hours,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Nonrecurring,Manufacturing Operations,Direct Manufacturing Labor Hours,Hours,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Manufacturing Operations,Direct Manufacturing Labor Hours,Hours,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Manufacturing Operations,Direct Manufacturing Labor Hours,Quantity,1,1921-1 (2007/2011)
